City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
114,Iqaluit,63.7506,-68.5145,40.73,86,75,0.0,CA,broken clouds
115,Kyra,49.5776,111.9753,85.46,39,99,7.56,RU,overcast clouds
116,Namibe,-15.1961,12.1522,65.8,62,0,7.76,AO,clear sky
117,Hithadhoo,-0.6,73.0833,84.09,71,99,9.82,MV,overcast clouds
118,Butaritari,3.0707,172.7902,83.1,75,30,21.97,KI,scattered clouds
119,Nueva Gerona,21.8833,-82.8,82.2,72,0,7.11,CU,clear sky
120,Castro,-24.7911,-50.0119,56.21,74,6,4.34,BR,clear sky
121,Tuktoyaktuk,69.4541,-133.0374,78.8,41,0,13.8,CA,clear sky
122,Elko,41.0002,-115.5012,78.06,18,66,7.65,US,broken clouds
123,Havre-Saint-Pierre,50.2334,-63.5986,59.36,100,100,0.0,CA,fog
124,Ancud,-41.8697,-73.8203,42.22,76,100,15.7,CL,light rain
125,El Carrizo,24.0261,-106.8814,80.92,78,54,0.78,MX,broken clouds
126,Hilo,19.7297,-155.09,77.61,88,71,1.01,US,broken clouds
127,Dafeng,23.4517,108.5881,77.9,92,100,8.95,CN,overcast clouds
128,Kieta,-6.2167,155.6333,85.24,70,18,9.17,PG,light rain
129,Alanya,36.5438,31.9998,78.24,44,0,11.14,TR,clear sky
130,Kahului,20.8947,-156.47,79.84,82,85,13.0,US,overcast clouds
131,Chimbote,-9.0853,-78.5783,61.56,87,21,5.3,PE,few clouds
132,Acajutiba,-11.6622,-38.0172,67.55,92,50,5.66,BR,scattered clouds
133,Easton,40.6884,-75.2207,75.81,90,73,1.36,US,broken clouds
134,Salalah,17.0151,54.0924,80.2,86,89,9.35,OM,overcast clouds
135,Bonthe,7.5264,-12.505,75.33,89,89,7.27,SL,moderate rain
136,Bam,29.106,58.357,100.53,12,100,3.71,IR,overcast clouds
137,Tuatapere,-46.1333,167.6833,50.77,74,62,13.4,NZ,broken clouds
138,Hualmay,-11.0964,-77.6139,61.72,83,68,6.02,PE,broken clouds
139,Cidreira,-30.1811,-50.2056,61.36,91,94,7.47,BR,overcast clouds
140,Gardner,42.5751,-71.9981,67.64,90,71,4.99,US,broken clouds
141,Dehloran,32.6941,47.2679,93.87,14,0,1.36,IR,clear sky
142,Manadhoo,5.7667,73.3833,81.5,78,98,13.65,MV,overcast clouds
143,Eureka,40.8021,-124.1637,59.67,84,100,4.0,US,overcast clouds
144,Nigran,42.1415,-8.8066,65.17,82,0,1.14,ES,clear sky
145,Kuusamo,65.9667,29.1833,69.84,78,0,4.61,FI,clear sky
146,Pisco,-13.7,-76.2167,60.85,88,40,5.75,PE,scattered clouds
147,Tadine,-21.55,167.8833,76.12,72,60,14.14,NC,broken clouds
148,Mastic Beach,40.7668,-72.8521,75.04,93,56,11.01,US,broken clouds
149,Zhireken,52.8249,117.3076,88.18,32,100,6.04,RU,overcast clouds
150,Nairobi,-1.2833,36.8167,56.52,77,75,5.75,KE,broken clouds
151,Plavinas,56.6178,25.7255,60.04,97,99,4.72,LV,overcast clouds
152,Zabaykalsk,49.6333,117.3167,91.89,28,100,9.17,RU,overcast clouds
153,Lompoc,34.6391,-120.4579,59.14,87,75,18.41,US,broken clouds
154,Meulaboh,4.1363,96.1285,83.26,67,90,3.15,ID,overcast clouds
155,Chandler,33.3062,-111.8412,100.47,25,20,4.61,US,few clouds
156,Garden City,42.3256,-83.331,73.65,61,97,6.35,US,overcast clouds
157,Alofi,-19.0595,-169.9187,80.49,78,13,10.36,NU,few clouds
158,Turgenevo,54.8455,46.3297,61.12,75,87,3.38,RU,overcast clouds
159,Taozhuang,34.85,117.3333,91.0,54,84,11.5,CN,broken clouds
160,Zhuhai,22.2769,113.5678,87.58,84,40,21.85,CN,scattered clouds
161,Klaksvik,62.2266,-6.589,49.12,93,100,26.53,FO,moderate rain
162,Cherskiy,68.75,161.3,40.28,94,100,11.61,RU,light rain
163,Gravdal,68.1214,13.5031,53.06,92,100,13.82,NO,overcast clouds
164,Flagstaff,35.1981,-111.6513,73.31,51,68,1.01,US,broken clouds
165,Takoradi,4.8845,-1.7554,74.59,86,18,5.61,GH,few clouds
166,Mgandu,-5.95,34.1333,50.81,75,3,9.06,TZ,clear sky
167,Agadez,19.75,10.25,84.61,12,7,8.19,NE,clear sky
168,Shelburne,44.0787,-80.2041,54.9,65,46,7.94,CA,scattered clouds
169,Cordoba,-31.4135,-64.1811,42.76,52,0,8.05,AR,clear sky
170,Bethel,41.3712,-73.414,72.93,96,40,3.44,US,scattered clouds
171,Lubango,-14.9172,13.4925,52.48,44,0,2.73,AO,clear sky
172,Kodiak,57.79,-152.4072,53.11,94,100,14.97,US,light rain
173,Lagoa,39.05,-27.9833,64.8,87,70,11.61,PT,broken clouds
174,Yumen,40.2833,97.2,84.54,19,10,10.31,CN,clear sky
175,Lebedinyy,58.5167,125.5167,82.49,39,99,11.95,RU,overcast clouds
176,Ponta Do Sol,32.6667,-17.1,70.43,77,48,3.91,PT,scattered clouds
177,Esperance,-33.8667,121.9,59.95,51,0,5.59,AU,clear sky
178,Nome,64.5011,-165.4064,62.17,77,40,8.05,US,scattered clouds
179,Hasaki,35.7333,140.8333,97.29,66,64,13.29,JP,broken clouds
180,Wasilla,61.5814,-149.4394,77.67,43,0,17.27,US,clear sky
181,Vila,42.0304,-8.1588,54.48,88,13,5.93,PT,few clouds
182,Vestmannaeyjar,63.4427,-20.2734,50.2,87,40,21.03,IS,scattered clouds
183,Kato Soulion,38.1667,24.0,80.46,56,0,19.37,GR,clear sky
184,Takanosu,40.2219,140.3694,87.33,50,45,10.83,JP,scattered clouds
185,Sangar,63.9242,127.4739,76.82,47,56,10.18,RU,broken clouds
186,Buluang,13.3068,123.3425,84.81,71,100,0.45,PH,overcast clouds
187,Qaanaaq,77.484,-69.3632,37.09,99,100,7.07,GL,light rain
188,Saint-Augustin,51.226,-58.6502,57.31,99,100,2.48,CA,overcast clouds
189,Podporozhye,60.9112,34.1706,67.5,84,100,1.54,RU,overcast clouds
190,Sajanan,37.0573,9.2426,77.92,51,8,1.77,TN,clear sky
191,Topolobampo,25.6,-109.05,83.57,70,33,2.68,MX,scattered clouds
192,Ventspils,57.3894,21.5606,57.13,100,1,1.14,LV,clear sky
193,Oytal,42.9057,73.2697,86.85,21,0,6.31,KZ,clear sky
194,Wuwei,37.9281,102.6414,85.32,22,32,7.99,CN,scattered clouds
195,Zhangjiakou,40.81,114.8794,68.68,90,100,3.13,CN,light rain
196,Maunabo,18.0072,-65.8993,76.84,93,100,14.09,PR,overcast clouds
197,Saint-Francois,46.4154,3.9054,55.42,94,0,0.0,FR,clear sky
198,Satun,6.8333,100.0,89.6,66,100,5.3,TH,overcast clouds
199,Port Shepstone,-30.7414,30.455,62.73,40,0,8.66,ZA,clear sky
200,Ulladulla,-35.35,150.4667,58.1,71,100,20.15,AU,light rain
201,Savonlinna,61.8699,28.88,71.65,73,0,2.3,FI,clear sky
202,Misratah,32.3754,15.0925,80.42,58,0,5.57,LY,clear sky
203,Boguchany,58.3814,97.4531,65.75,59,96,10.78,RU,overcast clouds
204,Cienfuegos,22.1461,-80.4356,76.39,89,44,7.7,CU,scattered clouds
205,Saskylakh,71.9167,114.0833,68.23,36,2,11.43,RU,clear sky
206,Lorengau,-2.0226,147.2712,83.21,79,91,9.08,PG,heavy intensity rain
207,Oruro,-17.9833,-67.15,41.32,54,26,4.92,BO,scattered clouds
208,Nikolskoye,59.7035,30.7861,73.87,62,100,4.12,RU,overcast clouds
209,Eyl,7.9803,49.8164,78.08,65,100,30.8,SO,overcast clouds
210,Boa Vista,2.8197,-60.6733,78.78,83,40,1.14,BR,scattered clouds
211,Grand Gaube,-20.0064,57.6608,73.38,61,92,11.99,MU,overcast clouds
212,Coquimbo,-29.9533,-71.3436,54.34,78,38,5.21,CL,scattered clouds
213,Fenyi,27.8112,114.6681,77.77,94,100,3.94,CN,light rain
214,The Valley,18.217,-63.0578,82.09,82,100,18.41,AI,overcast clouds
215,Puerto Cabello,10.4731,-68.0125,81.27,77,95,7.2,VE,overcast clouds
216,Ust-Tsilma,65.441,52.1498,54.66,62,51,6.33,RU,broken clouds
217,Sioux Lookout,50.1001,-91.917,50.18,65,5,3.13,CA,clear sky
218,Yulara,-25.2406,130.9889,56.97,29,0,17.09,AU,clear sky
219,Port Blair,11.6667,92.75,84.42,78,100,17.56,IN,light rain
220,Mecca,21.4267,39.8261,87.17,25,100,5.26,SA,overcast clouds
221,Chapada Dos Guimaraes,-15.4606,-55.7497,62.26,42,46,4.59,BR,scattered clouds
222,Codrington,-38.2667,141.9667,53.33,66,87,11.99,AU,overcast clouds
223,Ecublens,46.529,6.5626,63.86,67,0,1.19,CH,clear sky
224,Airai,-8.9266,125.4092,66.47,82,91,3.96,TL,overcast clouds
225,Namwala,-15.7504,26.4384,57.33,69,85,4.65,ZM,overcast clouds
226,Hagi,34.4,131.4167,81.95,71,100,16.69,JP,overcast clouds
227,Vigrestad,58.5667,5.7,57.96,85,38,11.74,NO,scattered clouds
228,Tongren,27.7172,109.1853,79.92,88,100,7.76,CN,overcast clouds
229,Melfort,52.8667,-104.6177,53.92,82,44,1.48,CA,scattered clouds
230,Nioro,13.35,-15.75,77.59,78,93,2.44,GM,overcast clouds
231,Angren,41.0167,70.1436,88.07,17,0,2.13,UZ,clear sky
232,Clyde River,70.4692,-68.5914,30.43,100,100,10.36,CA,heavy snow
233,Chuy,-33.6971,-53.4616,43.3,88,24,3.8,UY,few clouds
234,Faanui,-16.4833,-151.75,79.07,65,17,14.52,PF,few clouds
235,Oktyabrskoye,43.0645,44.7417,59.14,72,0,8.95,RU,clear sky
236,Deputatskiy,69.3,139.9,56.41,62,100,1.95,RU,light rain
237,Mount Gambier,-37.8333,140.7667,53.35,61,92,8.39,AU,overcast clouds
238,Agua Verde,22.9,-106.05,82.49,74,10,2.21,MX,clear sky
239,Beloha,-25.1667,45.05,56.41,76,0,6.73,MG,clear sky
240,Manzhouli,49.6,117.4333,92.71,27,100,8.75,CN,overcast clouds
241,Hovd,48.0056,91.6419,67.14,27,100,5.61,MN,overcast clouds
242,Dingle,10.9995,122.6711,88.52,66,76,9.53,PH,broken clouds
243,Nelson Bay,-32.7167,152.15,64.99,95,100,15.99,AU,light rain
244,Korla,41.7597,86.1469,89.64,14,80,6.46,CN,broken clouds
