City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,Sakete,6.7362,2.6587,74.03,96,39,3.58,BJ,2022-06-28 23:46:56
154,Itarema,-2.9248,-39.9167,77.95,80,59,12.88,BR,2022-06-28 23:46:56
155,Ovalle,-30.5983,-71.2003,59.99,33,5,3.06,CL,2022-06-28 23:46:56
156,Tura,25.5198,90.2201,72.97,98,100,4.5,IN,2022-06-28 23:46:57
157,Yichang,30.7144,111.2847,81.52,72,5,3.31,CN,2022-06-28 23:46:57
158,Zhangye,38.9342,100.4517,77.49,22,13,8.37,CN,2022-06-28 23:46:58
159,Katangli,51.7102,143.2326,49.89,86,99,7.94,RU,2022-06-28 23:46:58
160,Cristalina,-16.7686,-47.6136,58.66,57,0,4.47,BR,2022-06-28 23:42:26
161,Gazli,40.1333,63.45,89.47,17,0,11.1,UZ,2022-06-28 23:46:59
162,Ashqelon,31.6693,34.5715,76.82,74,0,4.32,IL,2022-06-28 23:46:59
163,Port Hardy,50.6996,-127.4199,59.18,88,100,8.05,CA,2022-06-28 23:47:00
164,Tiksi,71.6872,128.8694,49.1,50,20,19.44,RU,2022-06-28 23:47:00
165,Iaciara,-14.0958,-46.6317,67.93,39,0,3.4,BR,2022-06-28 23:47:01
166,Saint-Philippe,-21.3585,55.7679,63.99,74,80,14.03,RE,2022-06-28 23:47:01
167,Rawson,-43.3002,-65.1023,52.93,58,100,11.97,AR,2022-06-28 23:47:02
168,Buchanan,5.8808,-10.0467,76.84,89,85,1.79,LR,2022-06-28 23:47:02
169,Yetkul,54.8221,61.588,40.78,84,31,12.44,RU,2022-06-28 23:47:03
170,Great Bend,38.3645,-98.7648,87.93,36,0,14.97,US,2022-06-28 23:47:04
171,Pajapan,18.25,-94.7,79.92,77,16,7.56,MX,2022-06-28 23:47:04
172,Sinnamary,5.3833,-52.95,77.72,86,80,7.49,GF,2022-06-28 23:47:05
173,Sioux Lookout,50.1001,-91.917,60.87,44,40,11.5,CA,2022-06-28 23:47:06
174,Pouebo,-20.4,164.5667,77.02,67,12,4.83,NC,2022-06-28 23:47:06
175,Tasiilaq,65.6145,-37.6368,42.96,62,83,5.46,GL,2022-06-28 23:47:07
176,Ilulissat,69.2167,-51.1,59.02,33,34,21.85,GL,2022-06-28 23:47:07
177,Sinjar,36.3209,41.8754,80.73,26,0,7.81,IQ,2022-06-28 23:47:08
178,Praia Da Vitoria,38.7333,-27.0667,68.76,88,75,6.85,PT,2022-06-28 23:47:09
179,Leh,34.1667,77.5833,60.4,32,0,6.38,IN,2022-06-28 23:47:10
180,Leningradskiy,69.3833,178.4167,61.77,61,99,10.18,RU,2022-06-28 23:47:11
181,Sosnovo-Ozerskoye,52.5249,111.5418,75.61,39,41,2.84,RU,2022-06-28 23:47:12
182,Albion,42.2431,-84.753,80.55,34,0,6.91,US,2022-06-28 23:44:23
183,Ust-Tsilma,65.441,52.1498,40.73,72,37,5.61,RU,2022-06-28 23:47:13
184,Saldanha,-33.0117,17.9442,51.85,48,0,11.36,ZA,2022-06-28 23:47:14
185,Xicotencatl,23.0167,-98.8833,91.47,44,90,10.8,MX,2022-06-28 23:47:16
186,Almaznyy,48.0448,40.045,64.69,94,79,7.23,RU,2022-06-28 23:48:16
187,Diffa,13.3154,12.6113,88.3,37,35,8.7,NE,2022-06-28 23:48:17
188,Jimenez,28.3333,-105.4,92.23,19,63,14.38,MX,2022-06-28 23:48:17
189,Gerash,27.6652,54.1371,86.59,35,3,1.61,IR,2022-06-28 23:48:18
190,Hambantota,6.1241,81.1185,79.2,80,4,17.83,LK,2022-06-28 23:48:19
191,Poya,-21.35,165.15,73.11,71,89,9.19,NC,2022-06-28 23:48:20
192,Yar-Sale,66.8333,70.8333,42.57,65,25,23.06,RU,2022-06-28 23:48:21
193,Rameswaram,9.2833,79.3,84.69,73,13,10.16,IN,2022-06-28 23:48:22
194,Kavieng,-2.5744,150.7967,83.53,67,99,7.47,PG,2022-06-28 23:48:22
195,Beringovskiy,63.05,179.3167,51.42,72,14,17.83,RU,2022-06-28 23:48:23
196,Alofi,-19.0595,-169.9187,82.29,78,75,11.5,NU,2022-06-28 23:48:23
197,Omidiyeh,30.7597,49.705,93.09,12,1,11.14,IR,2022-06-28 23:48:24
198,Plouzane,48.3833,-4.6167,57.38,94,100,11.5,FR,2022-06-28 23:48:25
199,Maniitsoq,65.4167,-52.9,42.39,98,100,10.67,GL,2022-06-28 23:48:25
200,Avarua,-21.2078,-159.775,80.65,69,6,4.61,CK,2022-06-28 23:48:26
