City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
112,Belen,TR,69.78,clear sky,36.4891,36.2233,Varlıbaş Uyku Sarayı
113,Manta,EC,71.38,few clouds,-0.95,-80.7333,Balandra Hotel
114,Iqaluit,CA,40.73,broken clouds,63.7506,-68.5145,Frobisher Inn
115,Kyra,RU,85.46,overcast clouds,49.5776,111.9753,
116,Namibe,AO,65.8,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
117,Hithadhoo,MV,84.09,overcast clouds,-0.6,73.0833,Scoop Guest House
118,Butaritari,KI,83.1,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
119,Nueva Gerona,CU,82.2,clear sky,21.8833,-82.8,Casa de la Alegria
120,Castro,BR,56.21,clear sky,-24.7911,-50.0119,CHACARA BAILLY
121,Tuktoyaktuk,CA,78.8,clear sky,69.4541,-133.0374,End of The Road Ltd.
122,Elko,US,78.06,broken clouds,41.0002,-115.5012,
123,Havre-Saint-Pierre,CA,59.36,fog,50.2334,-63.5986,Auberge Niapiskau
124,Ancud,CL,42.22,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
125,El Carrizo,MX,80.92,broken clouds,24.0261,-106.8814,
126,Hilo,US,77.61,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
127,Dafeng,CN,77.9,overcast clouds,23.4517,108.5881,Shenglong Hotel
128,Kieta,PG,85.24,light rain,-6.2167,155.6333,Uruna Bay Retreat
129,Alanya,TR,78.24,clear sky,36.5438,31.9998,Panorama Hotel
130,Kahului,US,79.84,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
131,Chimbote,PE,61.56,few clouds,-9.0853,-78.5783,Hotel Briliá
132,Acajutiba,BR,67.55,scattered clouds,-11.6622,-38.0172,Recanto Da Lucinha
133,Easton,US,75.81,broken clouds,40.6884,-75.2207,Grand Eastonian Hotel & Suites
134,Salalah,OM,80.2,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
135,Bonthe,SL,75.33,moderate rain,7.5264,-12.505,Bonthe Holiday Village
136,Bam,IR,100.53,overcast clouds,29.106,58.357,Bam Tourist Hotel
137,Tuatapere,NZ,50.77,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
138,Hualmay,PE,61.72,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
139,Cidreira,BR,61.36,overcast clouds,-30.1811,-50.2056,Hotel Castelo
140,Gardner,US,67.64,broken clouds,42.5751,-71.9981,Super 8 by Wyndham Gardner
141,Dehloran,IR,93.87,clear sky,32.6941,47.2679,کافه گیم استورم
142,Manadhoo,MV,81.5,overcast clouds,5.7667,73.3833,Bon Abri maldives
143,Eureka,US,59.67,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
144,Nigran,ES,65.17,clear sky,42.1415,-8.8066,Hotel Holiday
145,Kuusamo,FI,69.84,clear sky,65.9667,29.1833,Hotel Kuusanka
146,Pisco,PE,60.85,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
147,Tadine,NC,76.12,broken clouds,-21.55,167.8833,
148,Mastic Beach,US,75.04,broken clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
149,Zhireken,RU,88.18,overcast clouds,52.8249,117.3076,Gostinitsa
150,Nairobi,KE,56.52,broken clouds,-1.2833,36.8167,Hilton Nairobi
151,Plavinas,LV,60.04,overcast clouds,56.6178,25.7255,Route 68
152,Zabaykalsk,RU,91.89,overcast clouds,49.6333,117.3167,Zheleznyy Mir
153,Lompoc,US,59.14,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
154,Meulaboh,ID,83.26,overcast clouds,4.1363,96.1285,Kost Pria
155,Chandler,US,100.47,few clouds,33.3062,-111.8412,"Crowne Plaza Hotels & Resorts Phoenix - Chandler Golf Resort, an IHG Hotel"
156,Garden City,US,73.65,overcast clouds,42.3256,-83.331,Big Trees Mobile Home Community
157,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
